STATIONS_ID;MESS_DATUM;QN_4;NEBEL;GEWITTER;STURM_6;STURM_8; TAU;GLATTEIS;REIF;GRAUPEL;HAGEL;eor
       1346;19490809;    5;   1;   1;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490810;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490811;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490812;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490813;    5;   1;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490814;    5;   0;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19490815;    5;   0;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490816;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490817;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490818;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490819;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490820;    5;   1;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490821;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490822;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490823;    5;   0;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490824;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490825;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490826;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490827;    5;   0;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19490828;    5;   1;   1;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490829;    5;   1;   1;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490830;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490831;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490901;    5;   0;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490902;    5;   0;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490903;    5;   0;   1;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490904;    5;   0;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490905;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490906;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490907;    5;   1;   1;   0;   1;   0;   0;   0;   1;   0;eor
       1346;19490908;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490909;    5;   0;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19490910;    5;   1;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19490911;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490912;    5;   0;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490913;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490914;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490915;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490916;    5;   1;   1;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490917;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490918;    5;   0;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19490919;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490920;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490921;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490922;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490923;    5;   0;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490924;    5;   0;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490925;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490926;    5;   1;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490927;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490928;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490929;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490930;    5;   0;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19491001;    5;   0;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19491002;    5;   0;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19491003;    5;   0;   0;   0;   0;   0;   0;   1;   0;   0;eor
       1346;19491004;    5;   0;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19491005;    5;   0;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19491006;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19491007;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19491008;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19491009;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19491010;    5;   1;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19491011;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19491012;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19491013;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19491014;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19491015;    5;   0;   0;   0;   0;   1;   0;   1;   0;   0;eor
       1346;19491016;    5;   0;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19491017;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19491018;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
